season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Maciej Janowski,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,13,main,,Artiom Łaguta,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,13,main,,Bartosz Zmarzlik,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,13,main,,Tai Woffinden,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,13,main,,Robert Lambert,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,14,main,,Emil Sajfutdinow,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,14,main,,Fredrik Lindgren,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,14,main,,Leon Madsen,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,14,main,,Krzysztof Kasprzak,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,15,main,,Martin Vaculik,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,15,main,,Jason Doyle,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,15,main,,Maciej Janowski,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,15,main,,Max Fricke,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,16,main,,Anders Thomsen,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,16,main,,Oliver Berntzon,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,16,main,,Matej Žagar,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,16,main,,Jan Kvěch,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,17,main,,Maciej Janowski,3,1,1
